id,subject,topic,difficulty,question,option_1,option_2,option_3,option_4,answer,explanation
679,OBG,Gynaecology - MTP Act,2,"For termination of pregnancy up to 12 weeks, how many medical practitioners' opinions are required as per the MTP Act 2021?",One,Two,Three,Four,One,One practitioner for up to 20 weeks; two for 20-24 weeks.
680,OBG,Obstetrics - Partograph,3,"In a Partograph, 'Fetal Distress' is indicated by the presence of:",Clear liquor,Meconium-stained liquor,Intact membranes,Mild molding,Meconium-stained liquor,Meconium staining (M) is a sign of possible fetal distress and requires close monitoring.
681,OBG,Gynaecology - Oncology,4,The most common histological type of 'Vaginal Cancer' is:,Adenocarcinoma,Squamous Cell Carcinoma,Clear Cell Carcinoma,Melanoma,Squamous Cell Carcinoma,SCC accounts for about 80-90% of primary vaginal cancers.
682,OBG,Obstetrics - Labor,3,What is the drug of choice for 'Augmentation' of labor?,Misoprostol,Dinoprostone,Oxytocin,Mifepristone,Oxytocin,"Oxytocin is used for augmentation (strengthening existing contractions), while prostaglandins are used for induction (starting labor)."
683,OBG,Obstetrics - Anemia,3,Which of the following is the most sensitive test for 'Iron Deficiency' in pregnancy?,Serum Iron,Serum Ferritin,Hemoglobin,TIBC,Serum Ferritin,Ferritin levels reflect iron stores and are the first to drop.
684,OBG,Gynaecology - Adenomyosis,2,"A patient presents with 'Bulky, Globular, Tender' uterus and severe dysmenorrhea. The diagnosis is:",Fibroids,Adenomyosis,Endometrial Hyperplasia,Ovarian Cyst,Adenomyosis,Adenomyosis (endometrial tissue in the myometrium) causes a uniformly enlarged 'globular' tender uterus.
685,OBG,Obstetrics - Infections,3,The treatment for a pregnant woman diagnosed with 'Syphilis' is:,Doxycycline,Benzathine Penicillin G,Azithromycin,Ceftriaxone,Benzathine Penicillin G,Penicillin is the only proven treatment to prevent congenital syphilis.
686,OBG,Obstetrics - Fetal Heart Rate,1,Normal fetal heart rate at term is:,100-120 bpm,110-160 bpm,140-180 bpm,80-100 bpm,110-160 bpm,Baseline FHR between 110-160 is considered reassuring.
687,OBG,Gynaecology - Contraception,2,The 'Mini-pill' contains only:,Estrogen,Progesterone,Androgen,Both Estrogen and Progesterone,Progesterone,Mini-pills are Progestin-Only Pills (POPs).
688,OBG,Obstetrics - Labor,3,The 'Schultze method' of placental delivery involves:,Separation from the center with fetal side presenting first,Separation from the margin with maternal side presenting,Manual removal,Instrumental removal,Separation from the center with fetal side presenting first,Schultze: Central separation (common). Matthews Duncan: Marginal separation.
689,OBG,Gynaecology - Infertility,3,The investigation of choice to assess 'Tubal Patency' is:,Ultrasound,Hysterosalpingography (HSG),Laparoscopy,MRI,Hysterosalpingography (HSG),HSG is the standard initial screening test for tubal factor infertility.
690,OBG,Obstetrics - Anatomy,2,The umbilical cord contains:,Two arteries and one vein,One artery and two veins,Two arteries and two veins,One artery and one vein,Two arteries and one vein,Fetal heart pumps deoxygenated blood via 2 arteries to the placenta; 1 vein returns oxygenated blood.
691,OBG,Obstetrics - Post-term,3,A pregnancy is considered 'Post-term' when it exceeds:,40 weeks,41 weeks,42 weeks,44 weeks,42 weeks,Post-term is defined as ≥ 294 days or 42 weeks from LMP.
692,OBG,Gynaecology - Oncology,3,The 'Call-Exner bodies' are characteristic of which ovarian tumor?,Dysgerminoma,Granulosa Cell Tumor,Teratoma,Serous Cystadenoma,Granulosa Cell Tumor,Small fluid-filled spaces between granulosa cells (Call-Exner bodies) are diagnostic.
693,OBG,Obstetrics - Twins,4,Monoamniotic twin pregnancy is associated with a high risk of:,Cord entanglement,Twin-to-Twin Transfusion,Maternal diabetes,Preterm labor,Cord entanglement,"Because they share the same sac, the cords can twist around each other, leading to fetal death."
694,OBG,Gynaecology - Infections,1,The 'Clue Cells' seen on a wet mount are diagnostic of:,Trichomoniasis,Bacterial Vaginosis,Candidiasis,Gonorrhea,Bacterial Vaginosis,Epithelial cells studded with bacteria (clue cells) are a core Amsel criterion for BV.
695,OBG,Obstetrics - Rh Isoimmunization,2,Anti-D immunoglobulin is 'NOT' effective if the mother is already:,Rh positive,Sensitized (ICT positive),Aged over 35,Had a previous C-section,Sensitized (ICT positive),Anti-D is for prevention; it cannot reverse sensitization once it has occurred.
696,OBG,Gynaecology - Contraception,3,What is the primary mechanism of action of the 'Mirena' (LNG-IUS)?,Inhibition of ovulation,Thickening of cervical mucus,Copper ions toxicity,Mechanical block,Thickening of cervical mucus,The local release of levonorgestrel thickens cervical mucus (preventing sperm entry) and thins the endometrium.
697,OBG,Obstetrics - Labor,2,Active management of the third stage of labor (AMTSL) reduces the risk of PPH by what percentage?,10%,30%,60%,90%,60%,AMTSL is proven to reduce the incidence of PPH by more than 60%.
698,OBG,Obstetrics - Anatomy,2,The 'Wharton's Jelly' is a specialized tissue found in:,The Placenta,The Umbilical Cord,The Uterine Wall,The Fetal Brain,The Umbilical Cord,It is a mucoid connective tissue that protects the umbilical vessels from compression.
699,OBG,Gynaecology - Oncology,3,A 'Sister Mary Joseph nodule' can also be a sign of advanced:,Cervical Cancer,Ovarian Cancer,Breast Cancer,Vaginal Cancer,Ovarian Cancer,"Umbilical metastasis (SMJ nodule) can occur from intra-abdominal malignancies, including the ovary."
700,OBG,Obstetrics - ANC,1,Naegele's rule is used to calculate the Expected Date of Delivery (EDD). It is calculated as:,LMP + 9 months,LMP + 9 months + 7 days,LMP + 1 year,LMP + 280 days,LMP + 9 months + 7 days,EDD = (LMP - 3 months) + 7 days + 1 year (or simply LMP + 9 months + 7 days).
701,OBG,Obstetrics - Physiology,2,The total blood volume in pregnancy increases by approximately:,10-20%,20-30%,40-50%,70-80%,40-50%,"Plasma volume increases more than red cell mass, leading to physiological anemia of pregnancy."
702,OBG,Obstetrics - Fetal Monitoring,3,A 'Non-Stress Test' (NST) is considered 'Reactive' if there are:,No decelerations,At least 2 accelerations in 20 minutes,Continuous baseline variability,Absence of contractions,At least 2 accelerations in 20 minutes,A reactive NST requires 2 accelerations of 15 bpm lasting 15 seconds within a 20-minute window.
703,OBG,Gynaecology - Prolapse,2,The 'Fothergill's Operation' is used for the treatment of:,Stress Incontinence,Uterine Prolapse,Cystocele,Vaginal Vault Prolapse,Uterine Prolapse,"Also known as the Manchester operation, it involves amputation of the cervix and shortening of the Mackenrodt's ligaments."
704,OBG,Obstetrics - Malpresentation,3,What is the engaging diameter in a 'Face Presentation'?,Suboccipito-bregmatic,Submento-bregmatic,Mento-vertical,Suboccipito-frontal,Submento-bregmatic,"In a fully extended face presentation, the engaging diameter is submento-bregmatic (9.5 cm)."
705,OBG,Gynaecology - Menopause,2,Which hormone is the most reliable biochemical marker for the diagnosis of Menopause?,Estrogen,Progesterone,FSH,LH,FSH,FSH levels >40 IU/L are diagnostic of menopause due to the loss of negative feedback from the ovaries.
706,OBG,Obstetrics - Medical Disorders,4,A pregnant woman with 'Mitral Stenosis' is at the highest risk of heart failure during which period?,First trimester,Second trimester,Immediately after delivery,24 hours before labor,Immediately after delivery,The sudden 'autotransfusion' of blood from the involuting uterus to the systemic circulation causes a massive spike in cardiac output.
707,OBG,Gynaecology - Amenorrhea,3,The 'Progesterone Challenge Test' is used to assess:,Ovarian function,Endometrial priming with estrogen,Pituitary reserve,Tubal patency,Endometrial priming with estrogen,Withdrawal bleeding after progesterone indicates that the endometrium was previously primed with estrogen.
708,OBG,Obstetrics - Operative,2,The most common indication for a 'Classical Cesarean Section' today is:,Fetal distress,Placenta Previa,Structural anomalies of the lower segment,Breech presentation,Structural anomalies of the lower segment,"Indications include fibroids in the lower segment, carcinoma cervix, or extremely preterm fetus where the lower segment is not formed."
709,OBG,Obstetrics - Malpresentation,1,In which fetal presentation is 'Vaginal Delivery' absolutely contraindicated?,Vertex,Face (Mento-anterior),Brow,Breech,Brow,"Brow presentation has the largest engaging diameter (Mento-vertical 13.5 cm), making vaginal delivery impossible."
710,OBG,Gynaecology - Anatomy,2,The 'Pouch of Douglas' is located between:,Bladder and Uterus,Uterus and Rectum,Bladder and Pubic Bone,Uterus and Broad Ligament,Uterus and Rectum,The rectouterine pouch is the most dependent part of the peritoneal cavity.
711,OBG,Obstetrics - Puerperium,2,The 'Lochia Rubra' normally persists for how many days after delivery?,1-4 days,5-9 days,10-14 days,15-20 days,1-4 days,"Lochia Rubra (red) lasts 1-4 days, Serosa (pinkish) 5-9 days, and Alba (white) 10-14 days."
712,OBG,Gynaecology - Urogynae,3,The 'Kelly’s Plication' is a surgical procedure for:,Uterine prolapse,Stress Urinary Incontinence,Rectocele,Vesicovaginal fistula,Stress Urinary Incontinence,It involves plication of the bladder neck to improve urethral support.
713,OBG,Obstetrics - Drugs,4,Which of the following is the drug of choice for 'Thyrotoxicosis' in the first trimester of pregnancy?,Carbimazole,Methimazole,Propylthiouracil (PTU),Radioactive Iodine,Propylthiouracil (PTU),PTU is preferred in the first trimester as Methimazole is associated with Aplasia Cutis (fetal scalp defect).
714,OBG,Gynaecology - GTN,3,"After the evacuation of a molar pregnancy, follow-up with serum hCG is done weekly until three consecutive negative results, then monthly for how long?",3 months,6 months,12 months,24 months,6 months,A 6-month follow-up is standard to ensure no progression to Choriocarcinoma.
715,OBG,Obstetrics - Newborn,1,What is the first parameter to be checked in a newborn according to APGAR score?,Muscle tone,Respiratory effort,Heart rate,Color,Heart rate,Heart rate is the most critical prognostic parameter in the APGAR score.
716,OBG,Obstetrics - Placenta,2,The 'Velamentous insertion' of the cord is a risk factor for which condition?,Placenta Previa,Vasa Previa,Abruption,Placenta Accreta,Vasa Previa,"In velamentous insertion, fetal vessels run through the membranes, increasing the risk of vasa previa."
717,OBG,Gynaecology - Infertility,3,The 'Spinnbarkeit Test' is used to evaluate:,Sperm motility,Cervical mucus elasticity,Fallopian tube patency,Endometrial receptivity,Cervical mucus elasticity,"High elasticity (Spinnbarkeit) occurs during ovulation due to high estrogen levels, facilitating sperm passage."
718,OBG,Obstetrics - Infections,4,Which of the following is the 'Confirmatory' test for fetal lung maturity in a diabetic mother?,L/S Ratio,Phosphatidylglycerol (PG),Lamellar body count,Shake test,Phosphatidylglycerol (PG),"In diabetic pregnancies, PG is the most reliable marker as the L/S ratio can be misleadingly high."
719,OBG,Obstetrics - Labor,2,The 'Active phase' of labor is now considered to start at how many cm of cervical dilation?,4 cm,6 cm,8 cm,10 cm,6 cm,"According to the latest ACOG and WHO guidelines, the active phase begins at 6 cm dilation."
720,OBG,Gynaecology - Prolapse,1,A 'Cystocele' refers to the prolapse of:,Uterus,Rectum,Bladder,Urethra,Bladder,Cystocele is the herniation of the urinary bladder through the anterior vaginal wall.
721,OBG,Obstetrics - ANC,2,The 'Quickening' (first fetal movement felt by the mother) usually occurs in a primigravida at:,12 weeks,16 weeks,18-20 weeks,24 weeks,18-20 weeks,Multigravidas usually feel it earlier (16-18 weeks) compared to primigravidas (18-20 weeks).
722,OBG,Obstetrics - Labor,3,Which of the following is the 'Gold Standard' for diagnosing preterm rupture of membranes?,Nitrazine test,Fern test,Amnisure (PAMG-1),Pooling of fluid in posterior fornix,Pooling of fluid in posterior fornix,"Clinical visualization of pooling remains the primary diagnostic step, though Fern and Amnisure are highly supportive."
723,OBG,Gynaecology - Dysmenorrhea,2,Primary dysmenorrhea is caused by an excess of:,Estrogen,Progesterone,Prostaglandins (PGF2a),Prolactin,Prostaglandins (PGF2a),Excessive production of PGF2a in the secretory endometrium causes uterine hyper-contractility and pain.
724,OBG,Obstetrics - Breech,4,"In the 'Lovset maneuver' for breech delivery, the fetus is rotated to deliver:",The legs,The after-coming head,The extended arms,The trunk,The extended arms,Lovset maneuver involves rotating the fetus to bring the posterior shoulder under the symphysis pubis to deliver extended arms.
725,OBG,Obstetrics - Preeclampsia,2,The first clinical sign of 'Magnesium Toxicity' during MgSO4 therapy is:,Respiratory depression,Loss of patellar reflex,Oliguria,Cardiac arrest,Loss of patellar reflex,Patellar reflex disappears at 8-10 mEq/L; respiratory depression at 12 mEq/L.
726,OBG,Gynaecology - Contraception,1,What is the primary mechanism of action of 'Post-coital Emergency Contraception' (Levonorgestrel 1.5mg)?,Abortion,Inhibition of ovulation,Prevention of implantation,Blockage of fallopian tubes,Inhibition of ovulation,LNG-EC primarily works by delaying or inhibiting ovulation; it does not work if implantation has already occurred.
727,OBG,Obstetrics - Ultrasound,3,The most accurate ultrasound parameter for 'Dating' a pregnancy in the first trimester is:,Gestational sac volume,Biparietal diameter,Crown-Rump Length (CRL),Femur length,Crown-Rump Length (CRL),CRL measured between 7 and 12 weeks has an accuracy of ± 3-5 days.
728,OBG,Gynaecology - Ovarian Cysts,2,The 'Chocolate Cyst' of the ovary is a feature of:,Dermoid Cyst,Endometriosis,Mucinous Cystadenoma,Corpus Luteum Cyst,Endometriosis,Old blood inside an endometriotic cyst of the ovary thickens into a chocolate-like appearance.
729,OBG,Obstetrics - Labor,4,Which of the following is the 'Prerequisite' for applying 'Obstetric Forceps'?,Membranes must be ruptured,Cervix must be fully dilated,Head must be engaged,All of the above,All of the above,"Forceps can only be applied when membranes are ruptured, cervix is fully dilated, head is engaged, and position is known."
730,OBG,Obstetrics - Postpartum,2,Which hormone is responsible for the 'Milk Ejection' reflex?,Prolactin,Oxytocin,Estrogen,Progesterone,Oxytocin,Prolactin is for milk production; Oxytocin is for milk let-down (ejection).
731,OBG,Gynaecology - Oncology,3,The 'FIGO Staging' for Cervical Cancer is primarily:,Surgical,Clinical,Radiological,Pathological,Clinical,"Cervical cancer staging is primarily clinical, although recent FIGO updates allow radiological imaging where available."
732,OBG,Obstetrics - Maternal Deaths,1,The 'Near Miss' event in obstetrics refers to:,Fetal death,A woman who nearly died but survived a complication,A twins pregnancy,A miscarriage,A woman who nearly died but survived a complication,Near-miss audits are crucial for improving quality of maternal health services.
733,OBG,Gynaecology - Menstruation,2,The 'Mittelschmerz' refers to:,Pain during menstruation,Pain during ovulation,Pain during intercourse,Pain during labor,Pain during ovulation,It is a mid-cycle pain occurring at the time of follicular rupture.
734,OBG,Obstetrics - Hyperemesis,3,"In a patient with Hyperemesis Gravidarum, which of the following is the 'Early' marker of ketosis?",Proteinuria,Glucosuria,Ketonuria,Hematuria,Ketonuria,Ketonuria indicates that the body is burning fat for energy due to severe dehydration and starvation.
735,OBG,Gynaecology - Amenorrhea,4,A patient has secondary amenorrhea and a positive 'Headache and Bitemporal Hemianopia'. What is the most likely diagnosis?,Sheehan's Syndrome,Pituitary Adenoma (Prolactinoma),Asherman's Syndrome,PCOS,Pituitary Adenoma (Prolactinoma),"A macroadenoma can compress the optic chiasm, leading to visual field defects and amenorrhea-galactorrhea syndrome."
736,OBG,Obstetrics - Fetal,1,The 'Ductus Arteriosus' connects the pulmonary artery to the:,Pulmonary vein,Descending Aorta,Left Ventricle,Superior Vena Cava,Descending Aorta,It allows most of the blood from the right ventricle to bypass the fetus's fluid-filled non-functioning lungs.
737,OBG,Gynaecology - Fibroids,2,The 'Red Degeneration' of a fibroid is most commonly seen during:,Puberty,Menopause,Pregnancy,Post-operative period,Pregnancy,"It occurs due to rapid growth of the fibroid during pregnancy, leading to ischemic necrosis and severe pain."
738,OBG,Obstetrics - Twins,3,"In a 'Monochorionic Monoamniotic' twin pregnancy, the risk of 'Conjoined Twins' occurs if the division happens after day:",3,8,13,18,13,"Division on days 1-3 (DC-DA), 4-8 (MC-DA), 8-13 (MC-MA), >13 (Conjoined)."
739,OBG,Gynaecology - Contraception,2,What is the 'Fail-safe' duration for a man after a Vasectomy?,1 week,1 month,3 months or 20 ejaculations,6 months,3 months or 20 ejaculations,Man is not sterile immediately; back-up contraception is needed until semen analysis confirms zero sperm.
740,OBG,Obstetrics - Anatomy,1,The 'Placenta' is fully formed and functional by the end of:,4 weeks,8 weeks,12 weeks,20 weeks,12 weeks,"By 12 weeks, the placenta takes over hormone production from the corpus luteum."
741,OBG,Obstetrics - PIH,3,What is the drug of choice for 'Chronic Hypertension' in pregnancy?,Enalapril,Methyldopa,Losartan,Hydrochlorothiazide,Methyldopa,Methyldopa is the most extensively studied and safest drug for chronic HTN in pregnancy.
742,OBG,Gynaecology - Prolapse,2,Which degree of 'Perineal Tear' involves the anal sphincter muscle?,1st degree,2nd degree,3rd degree,4th degree,3rd degree,1st: skin; 2nd: perineal muscles; 3rd: anal sphincter; 4th: rectal mucosa.
743,OBG,Obstetrics - Labor,3,The 'Wait and Watch' approach is followed in which stage of labor to prevent placental retention?,1st stage,2nd stage,3rd stage,4th stage,3rd stage,"In physiological management of the 3rd stage, one waits for signs of placental separation."
744,OBG,Obstetrics - Newborn,1,The 'Vitamin K' injection given to a newborn at birth is to prevent:,Infection,Rickets,Hemorrhagic disease of the newborn,Jaundice,Hemorrhagic disease of the newborn,"Newborns have low Vitamin K levels, increasing the risk of life-threatening bleeding."
745,OBG,Gynaecology - Amenorrhea,4,A 16-year-old girl has primary amenorrhea and a 'Webbed neck' and 'Wide-spaced nipples'. What is the most likely karyotype?,"46, XX","46, XY","45, XO","47, XXY","45, XO",These are classic features of Turner Syndrome (Gonadal dysgenesis).
746,OBG,Obstetrics - GDM,3,The 'Fetal Macrosomia' in a diabetic mother is primarily due to:,Maternal Hyperglycemia,Fetal Hyperinsulinemia,Maternal Insulin,Fetal Glucagon,Fetal Hyperinsulinemia,"Maternal glucose crosses the placenta, stimulating fetal insulin, which acts as a growth hormone."
747,OBG,Gynaecology - Oncology,2,Which of the following is the most common 'Benign' ovarian tumor in young women?,Serous Cystadenoma,Dermoid Cyst (Mature Teratoma),Fibroma,Brenner tumor,Dermoid Cyst (Mature Teratoma),Dermoid cysts contain tissues from all three germ layers and are common in reproductive-age women.
748,OBG,Obstetrics - Labor,3,The 'Ritgen Maneuver' is used during delivery to:,Deliver the shoulders,Control the delivery of the head,Speed up the second stage,Deliver the placenta,Control the delivery of the head,It helps in controlled extension of the head and reduces the risk of perineal tears.
749,OBG,Gynaecology - Contraception,2,The 'Saheli' (Centchroman) is a:,Steroidal daily pill,Non-steroidal weekly pill,Injectable contraceptive,IUD,Non-steroidal weekly pill,"It is an ORM (Selective Estrogen Receptor Modulator) taken twice weekly for 3 months, then once weekly."
750,OBG,Obstetrics - Anatomy,1,The 'Corpus Luteum' of pregnancy is maintained by which hormone?,Progesterone,Estrogen,hCG,LH,hCG,hCG produced by the syncytiotrophoblast rescues the corpus luteum from degradation.
751,OBG,Obstetrics - PIH,3,A pregnant woman presents with BP 150/100 mmHg at 28 weeks. She has 'No' proteinuria. The diagnosis is:,Preeclampsia,Eclampsia,Gestational Hypertension,Chronic Hypertension,Gestational Hypertension,HTN developing after 20 weeks without proteinuria is Gestational HTN.
752,OBG,Gynaecology - Prolapse,2,The 'Pessary' treatment for prolapse is indicated in:,Young women,Pregnant women,Women unfit for surgery,All of the above,All of the above,Ring pessaries are conservative management options for prolapse.
753,OBG,Obstetrics - Labor,3,The 'Turtle Sign' is characteristic of:,Breech delivery,Shoulder Dystocia,Face presentation,Twin delivery,Shoulder Dystocia,The head delivers but retracts against the perineum because the shoulders are stuck.
754,OBG,Obstetrics - Drugs,1,Which of the following is 'Contraindicated' in pregnancy?,Penicillin,Warfarin,Labetalol,Digoxin,Warfarin,Warfarin is teratogenic (Fetal Warfarin Syndrome); Heparin is the preferred anticoagulant.
755,OBG,Gynaecology - Oncology,4,The 'Schiller-Duval body' is pathognomonic of which ovarian tumor?,Endodermal Sinus Tumor (Yolk Sac Tumor),Dysgerminoma,Choriocarcinoma,Granulosa Cell Tumor,Endodermal Sinus Tumor (Yolk Sac Tumor),These are glomerulus-like structures found in yolk sac tumors.
756,OBG,Obstetrics - Puerperium,2,"A postpartum woman has high fever, foul-smelling lochia, and uterine tenderness. What is the most likely diagnosis?",Puerperal Pyrexia,Puerperal Sepsis (Endometritis),Mastitis,UTI,Puerperal Sepsis (Endometritis),Uterine infection (endometritis) is the most common cause of postpartum fever.
757,OBG,Gynaecology - Infertility,3,Which of the following is the 'Confirmatory' test for 'Tubal Block' after a suspicious HSG?,Laparoscopic Chromopertubation,Ultrasound,CT Scan,Progesterone levels,Laparoscopic Chromopertubation,Injecting methylene blue dye during laparoscopy is the gold standard for tubal patency.
758,OBG,Obstetrics - Abortion,2,"In 'Inevitable Abortion', the cervical os is typically:",Closed,Open,Closed but uterus is small,Open with foul discharge,Open,"In inevitable abortion, bleeding is heavy and the os is dilated, making termination of pregnancy certain."
759,OBG,Gynaecology - Amenorrhea,3,The 'Sheehan's Syndrome' is caused by:,Pituitary hemorrhage,Pituitary ischemic necrosis,Autoimmune destruction,Congenital absence,Pituitary ischemic necrosis,It results from severe PPH leading to hypotension and necrosis of the enlarged pregnancy pituitary gland.
760,OBG,Obstetrics - Fetal Heart,1,Fetal heart sound is best heard with a Pinard stethoscope at:,10 weeks,14 weeks,18-20 weeks,28 weeks,18-20 weeks,Standard clinical detection of FHR using a fetal stethoscope occurs around the 20th week.
761,OBG,Gynaecology - PCOS,2,The 'String of Pearls' appearance on ultrasound is diagnostic of:,Ovarian Cancer,PCOS,Hydatidiform Mole,Dermoid Cyst,PCOS,Multiple small peripherally arranged follicles in the ovary are classic for Polycystic Ovarian Syndrome.
762,OBG,Obstetrics - Twins,3,Which of the following is the most common presentation in 'Twin Pregnancy'?,Cephalic - Cephalic,Cephalic - Breech,Breech - Cephalic,Breech - Breech,Cephalic - Cephalic,"In about 50% of twin pregnancies, both fetuses are in cephalic presentation."
763,OBG,Gynaecology - Oncology,4,"A 'Krukenberg Tumor' is a metastatic tumor of the ovary, most commonly from:",Breast,Stomach (Signet ring cells),Colon,Lung,Stomach (Signet ring cells),It is usually bilateral and characterized by signet-ring cells on histopathology.
764,OBG,Obstetrics - Labor,2,The 'Cervical Effacement' refers to:,Opening of the cervix,Thinning and shortening of the cervix,Position of the cervix,Consistency of the cervix,Thinning and shortening of the cervix,Effacement is measured in percentage and must be 100% for successful delivery.
765,OBG,Obstetrics - Drugs,3,Which of the following is used to 'Induce' lung maturity in a fetus at risk of preterm delivery?,Dexamethasone,Betamethasone,Both Dexamethasone and Betamethasone,Prednisolone,Both Dexamethasone and Betamethasone,Both cross the placenta and stimulate surfactant production; Betamethasone is the more common preferred agent.
766,OBG,Gynaecology - Infertility,2,"According to the WHO, the lower limit of 'Normal Sperm Count' is:",5 million/ml,15 million/ml,40 million/ml,60 million/ml,15 million/ml,"Based on the latest WHO 2010/2021 criteria, 15 million/ml is the threshold for normozoospermia."
767,OBG,Obstetrics - Labor,1,The 'Episiotomy' is most commonly performed during:,First stage,End of second stage (crowning),Third stage,Immediately after delivery,End of second stage (crowning),It is done when the perineum is thinned and stretched by the fetal head.
768,OBG,Obstetrics - Maternal,2,The 'Linea Nigra' is caused by an increase in:,Estrogen,Progesterone,Melanocyte Stimulating Hormone (MSH),hCG,Melanocyte Stimulating Hormone (MSH),Pigmentary changes like Linea Nigra and Chloasma are due to increased MSH in pregnancy.
769,OBG,Gynaecology - Anatomy,3,The 'Ureter' is most commonly injured during which gynaecological surgery?,Myomectomy,Total Abdominal Hysterectomy,Oophorectomy,Colporrhaphy,Total Abdominal Hysterectomy,The ureter is at risk during ligation of the uterine artery ('Water under the bridge').
770,OBG,Obstetrics - Labor,2,The 'Leopold Maneuvers' are used to determine:,Fetal weight,Fetal lie and presentation,Cervical dilation,Placental position,Fetal lie and presentation,These four maneuvers provide a systematic way to palpate the pregnant abdomen.
771,OBG,Gynaecology - Amenorrhea,4,A patient with 'Asherman's Syndrome' will have a negative withdrawal bleed to:,Progesterone only,Estrogen + Progesterone,Both,None,Both,"In Asherman's (intrauterine adhesions), the endometrium is scarred and cannot respond to any hormones."
772,OBG,Obstetrics - Fetal,3,What is the most common cause of 'Early Neonatal Death'?,Sepsis,Birth Asphyxia,Congenital Anomalies,Prematurity,Prematurity,Complications of preterm birth are the leading cause of neonatal mortality.
773,OBG,Obstetrics - ANC,1,The 'Folic Acid' supplementation in early pregnancy is primarily to prevent:,Anemia,Neural Tube Defects (NTDs),Preterm labor,GDM,Neural Tube Defects (NTDs),Folic acid (400 mcg) significantly reduces the risk of spina bifida and anencephaly.
774,OBG,Gynaecology - Menopause,3,Which of the following is the 'Most Common' symptom of menopause?,Vaginal dryness,Osteoporosis,Hot flashes (Vasomotor symptoms),Mood swings,Hot flashes (Vasomotor symptoms),Hot flashes affect about 75% of menopausal women and are the most frequent complaint.
775,OBG,Obstetrics - Labor,2,The 'Restitution' movement of the fetal head occurs:,Inside the vagina,After delivery of the head,During internal rotation,After delivery of the shoulders,After delivery of the head,Restitution is the 45-degree rotation of the head to align with the fetal shoulders.
776,OBG,Gynaecology - Oncology,4,What is the most common site of metastasis for 'Choriocarcinoma'?,Liver,Brain,Lungs,Vagina,Lungs,"Choriocarcinoma is a highly vascular tumor that spreads hematogenously, primarily to the lungs (80%)."
777,OBG,Obstetrics - ANC,2,"The 'Quadruple Test' for Down Syndrome includes AFP, hCG, Estriol, and:",PAPP-A,Inhibin-A,Progesterone,LH,Inhibin-A,"Quad test: AFP, hCG, uE3, and Inhibin-A. (Done between 15-20 weeks)."
778,OBG,Gynaecology - Puberty,3,The first sign of 'Puberty' in a girl is:,Menarche,Thelarche (Breast development),Pubarche,Growth spurt,Thelarche (Breast development),The order is Thelarche -> Pubarche -> Growth spurt -> Menarche.
779,OBG,Obstetrics - Drugs,2,Which of the following drugs is used to 'Suppression' of lactation?,Metoclopramide,Cabergoline,Oxytocin,Prolactin,Cabergoline,"Dopamine agonists like Cabergoline inhibit prolactin secretion, stopping milk production."
780,OBG,Obstetrics - Anatomy,1,The 'Fertilization' of the ovum usually occurs in the:,Uterus,Ampulla of fallopian tube,Isthmus,Ovary,Ampulla of fallopian tube,The ampulla is the widest and longest part of the tube where fertilization normally happens.
781,OBG,Gynaecology - Oncology,3,The 'Post-coital Bleeding' is a classic symptom of:,Endometrial Cancer,Cervical Cancer,Ovarian Cancer,PCOS,Cervical Cancer,Bleeding after intercourse is a major red flag for cervical malignancy.
782,OBG,Obstetrics - Labor,3,"In 'Active Management of Labor', the cervix should dilate at a minimum rate of:",0.5 cm/hr,1 cm/hr,2 cm/hr,5 cm/hr,1 cm/hr,The 'Alert line' on the partograph is based on a dilation rate of 1 cm/hr.
783,OBG,Obstetrics - Puerperium,2,Postpartum 'Blues' typically peak on which day?,Day 1,Day 3-5,Day 10,1 month later,Day 3-5,Postpartum blues are transient and resolve by day 10. Postpartum depression is more severe and long-lasting.
784,OBG,Gynaecology - Anatomy,1,The 'Ovary' is attached to the posterior layer of the broad ligament by:,Mesosalpinx,Mesovarium,Mesometrium,Suspensory ligament,Mesovarium,Mesovarium is the short fold of peritoneum that connects the ovary to the broad ligament.
785,OBG,Obstetrics - Fetal,4,The 'Liley Curve' is used to manage:,Fetal growth,Rh Isoimmunization (Bilirubin in liquor),Preterm labor,GDM,Rh Isoimmunization (Bilirubin in liquor),It plots optical density (OD450) against gestational age to determine the severity of fetal hemolysis.
786,OBG,Obstetrics - Labor,3,What is the most common cause of 'Secondary PPH'?,Uterine atony,Retained placental fragments,Coagulopathy,Trauma,Retained placental fragments,Primary PPH (<24h) is mostly atonic; Secondary PPH (>24h) is mostly due to retained tissue or infection.
787,OBG,Gynaecology - Infertility,2,"In 'IVF' (In Vitro Fertilization), the embryo is usually transferred at which stage?",Zygote,2-8 cell stage or Blastocyst stage,Morula,Implantation stage,2-8 cell stage or Blastocyst stage,Embryo transfer is typically performed 3 to 5 days after fertilization.
788,OBG,Gynaecology - Oncology,3,The 'Bethesda System' is used for reporting:,Endometrial biopsy,Cervical Cytology (Pap smear),Ovarian cyst pathology,Hysteroscopy findings,Cervical Cytology (Pap smear),"Bethesda classification categorizes Pap smear results (e.g., LSIL, HSIL)."
